alpha_1,alpha_2,alpha_3,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.1,0.35,0.55,0.0,1.0040103236053204,0.06032531668938882,0.03337769470006817,0.4072862129144852,0.100942445881735,16857.333333333372,0,1128,87749.0,69
0.3,0.45,0.25,0.0,0.9760571768910061,0.06032531668938882,0.03530055314133152,0.41576161423853,0.10096918621080277,16388.000000000036,0,1089,86478.0,70
0.2,0.45,0.35,0.0,1.0054794520547945,0.06032531668938882,0.031865254345603264,0.41152302021458925,0.10098585092787962,16882.000000000044,0,1115,87640.0,71
0.0,0.5,0.5,0.0,1.0004764740917216,0.06032531668938882,0.032852245938423084,0.4112289887021218,0.10100239635632519,16798.000000000047,0,1140,89541.0,72
0.65,0.2,0.15,0.0,0.9569188008735353,0.06032531668938882,0.038169219353556015,0.41727896728858976,0.10102460257860255,16066.666666666699,0,1061,84562.0,73
0.6,0.2,0.2,0.0,0.9799880881477077,0.06032531668938882,0.03642103712224495,0.4111565386199188,0.10104136940605075,16454.000000000055,0,1068,83871.0,74
0.05,0.6,0.35,0.0,0.9847131228906092,0.06032531668938882,0.034858892155192,0.4141815486863181,0.10111147865971988,16533.333333333372,0,1095,86624.0,75
0.05,0.65,0.3,0.0,0.9876910859638673,0.06032531668938882,0.033675922375596454,0.41766731163214205,0.10125406217408651,16583.333333333376,0,1104,88071.0,76
0.8,0.05,0.15,0.0,0.9459201905896366,0.06032531668938882,0.04311695850374916,0.4103867914099949,0.10126977622160607,15882.00000000004,0,1042,81676.0,77
0.3,0.3,0.4,0.0,1.0010720667063728,0.06032531668938882,0.03543688579300159,0.40608698130956566,0.1012933672041757,16808.000000000044,0,1102,85474.0,78
0.35,0.3,0.35,0.0,0.9867778439547352,0.06032531668938882,0.03699761062826632,0.40857087453946095,0.10129526284016277,16568.000000000047,0,1080,84280.0,79
0.0,0.75,0.25,0.0,0.9890808020647207,0.06032531668938882,0.03311070992388093,0.41927816735025614,0.10131506981542593,16606.666666666704,0,1108,88731.0,80
0.55,0.25,0.2,0.0,0.9588644034147317,0.06032531668938882,0.039093725147693714,0.41655331017272595,0.1013266687323173,16099.333333333387,0,1070,85131.0,81
0.2,0.4,0.4,0.0,0.9962279134405398,0.06032531668938882,0.03361911710406725,0.41487098819054774,0.10138422962230195,16726.666666666708,0,1115,88353.0,82
0.85,0.05,0.1,0.0,0.9338495135993655,0.06032531668938882,0.04299198690638492,0.41795721421921456,0.10138579317380522,15679.333333333389,0,1046,83502.0,83
0.0,0.85,0.15,0.0,0.9970220369267421,0.06032531668938882,0.032041350687343775,0.4195819985605622,0.10142170690859646,16740.000000000044,0,1113,89196.0,84
0.3,0.55,0.15,0.0,0.9675997617629545,0.06032531668938882,0.03773749928993412,0.4179081943260684,0.1014920573077348,16246.000000000047,0,1075,85807.0,85
0.05,0.7,0.25,0.0,0.9780424856065126,0.06032531668938882,0.03590978967848216,0.41820090903860535,0.10149515208773083,16421.33333333339,0,1092,87225.0,86
0.75,0.1,0.15,0.0,0.9586261663688707,0.06032531668938882,0.04042864902862988,0.41482538842777217,0.10154244186980972,16095.33333333338,0,1049,83114.0,87
0.1,0.85,0.05,0.0,0.9879293230097284,0.06032531668938882,0.033667401584867085,0.4205329146124366,0.10154997808719021,16587.333333333383,0,1097,88113.0,88
0.7,0.15,0.15,0.0,0.9566805638276759,0.06032531668938882,0.04007787647693707,0.41694970559008054,0.10155236169347298,16062.666666666719,0,1059,84336.0,89
0.55,0.2,0.25,0.0,0.9903116934683343,0.06032531668938882,0.037443532009770526,0.40803824602491023,0.1015524688788389,16627.333333333376,0,1082,84326.0,90
0.6,0.25,0.15,0.0,0.95830851697439,0.06032531668938882,0.04004947384117249,0.4163179509137975,0.101562063092451,16090.000000000051,0,1076,85560.0,91
0.5,0.35,0.15,0.0,0.9703394877903516,0.06032531668938882,0.036306006447398335,0.4215568976904008,0.10156446609277717,16292.000000000045,0,1094,88086.0,92
0.1,0.8,0.1,0.0,0.9635894381576342,0.06032531668938882,0.038549814672801656,0.41821561338289964,0.10156597764801217,16178.66666666672,0,1076,85950.0,93
0.15,0.65,0.2,0.0,0.9924161207067704,0.06032531668938882,0.03416586784253577,0.41700451147878365,0.10157101753597764,16662.66666666672,0,1099,87533.0,94
0.15,0.45,0.4,0.0,1.00742505459599,0.06032531668938882,0.03262076445694159,0.4142384090495117,0.10158132297183316,16914.666666666715,0,1121,88693.0,95
0.4,0.45,0.15,0.0,0.9798689696247767,0.06032531668938882,0.035248008265167004,0.4203205292752977,0.10159990388831872,16452.000000000044,0,1081,86784.0,96
0.1,0.7,0.2,0.0,0.9873734365693868,0.06032531668938882,0.034222673114064975,0.4203454162255982,0.10167001538524865,16578.000000000047,0,1098,88154.0,97
0.4,0.25,0.35,0.0,0.9972205677982936,0.06032531668938882,0.03576493623608271,0.4110162805708958,0.10169213731782908,16743.333333333394,0,1095,85962.0,98
0.1,0.65,0.25,0.0,0.9722056779829267,0.06032531668938882,0.03713536341172461,0.4194972485646241,0.10170061777912615,16323.333333333381,0,1097,87896.0,99
0.0,0.6,0.4,0.0,1.0280722652372438,0.06032531668938882,0.03106003962167689,0.4099220477021524,0.1017138299185805,17261.33333333337,0,1125,88082.0,100
0.2,0.5,0.3,0.0,0.9652570974786582,0.06032531668938882,0.03875005325494208,0.418321223284168,0.10171999317883235,16206.666666666713,0,1083,86531.0,101
