p1_a1,p1_a2,p1_a3,p2_a1,p2_a2,p2_a3,p3_a1,p3_a2,p3_a3,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.35,0.35,0.3,0.6,0.2,0.2,0.85,0.05,0.1,0.48425346816299314,0.9959916014506593,0.060289316018805196,0.017551330839353285,70.89,0.4082921582017738,0.3622336026341626,17393.33333333336,6,1173,91475.0,38
0.35,0.35,0.3,0.55,0.2,0.25,0.7,0.15,0.15,0.49266165313832294,0.9967932811605277,0.060289316018805196,0.006156421998624012,89.79,0.4091874958925716,0.3635692494729484,17407.33333333336,6,1195,93395.0,39
0.35,0.35,0.3,0.65,0.15,0.2,0.85,0.05,0.1,0.4881254693563012,0.9929375835083039,0.060289316018805196,0.01731626605320491,71.28,0.4126017972168408,0.36457094685902647,17340.000000000025,6,1181,93071.0,40
0.35,0.35,0.3,0.65,0.15,0.2,0.75,0.1,0.15,0.5256047611925793,0.9993510211872499,0.060289316018805196,0.011766443785116381,80.48,0.4097134312821712,0.3835514459790331,17452.000000000022,6,1187,92889.0,41
0.35,0.35,0.3,0.6,0.2,0.2,0.75,0.1,0.15,0.5371429320833615,1.005077304829166,0.060289316018805196,0.01133214725948859,81.2,0.40795934605527495,0.3898780566706812,17552.000000000015,6,1191,92803.0,42
0.35,0.35,0.3,0.65,0.15,0.2,0.8,0.1,0.1,0.5496188951517057,1.0035884710822682,0.060289316018805196,0.011689044404311432,80.61,0.4154080090082502,0.39751733010967005,17526.000000000025,6,1181,93704.0,43
0.35,0.35,0.3,0.55,0.2,0.25,0.8,0.1,0.1,0.5212159018326026,0.99728955907616,0.060289316018805196,0.012230840069946106,79.71,0.4139236346907928,0.38159483945180256,17416.000000000022,7,1195,94476.0,44
0.35,0.35,0.3,0.55,0.2,0.25,0.75,0.1,0.15,0.5663654444398718,1.0091620538270671,0.060289316018805196,0.009703893618851047,83.9,0.40763277241765744,0.405633542460704,17623.33333333336,7,1196,93118.0,45
0.35,0.35,0.3,0.65,0.15,0.2,0.7,0.15,0.15,0.5774453111073985,1.0081694979958011,0.060289316018805196,0.008409603973168214,86.05,0.4122597420851049,0.4117522514093202,17606.000000000022,7,1192,93860.0,46
0.35,0.35,0.3,0.6,0.2,0.2,0.7,0.15,0.15,0.5813876338811287,1.0062225615575495,0.060289316018805196,0.008266271786492375,86.29,0.4097885655848753,0.4135330648069335,17572.00000000002,7,1198,93767.0,47
