alpha_1,alpha_2,alpha_3,tardiness_index,initial_fragmentation_index,final_fragmentation_index,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.1,0.8,0.1,4.194317624,0.052799697,0.031868337,0.751021971,2.601253273,20169.33333,34,1971,151017,160
0.15,0.35,0.5,4.207693178,0.052799697,0.022186474,0.735355232,2.604807372,20818.66667,31,2019,151467,161
0.05,0.6,0.35,4.207609166,0.052799697,0.021885872,0.74136769,2.60526803,20326,33,2007,151798,162
0.2,0.7,0.1,4.209903304,0.052799697,0.02639489,0.756103547,2.609470804,20651.33333,33,1997,154044,163
0.3,0.4,0.3,4.214592548,0.052799697,0.029400902,0.751817109,2.61275751,20593.33333,32,1977,151637,164
0.1,0.5,0.4,4.218499926,0.052799697,0.028499099,0.742679374,2.613917623,20488.66667,34,1985,150400,165
0.35,0.35,0.3,4.241492179,0.052799697,0.028499099,0.748297342,2.628274772,20388,34,1989,151843,166
0,0.25,0.75,4.258575261,0.052799697,0.020466367,0.727854358,2.634070503,20938,32,2102,156084,167
0,0.35,0.65,4.283764996,0.052799697,0.018278658,0.731699814,2.648912576,20566,35,2071,154595,168
0.25,0.45,0.3,4.285791505,0.052799697,0.029771087,0.748090362,2.655215265,20256.66667,34,1989,151801,169
0.2,0.35,0.45,4.291938899,0.052799697,0.022787676,0.734808074,2.65548045,20306,33,2025,151804,170
0.05,0.7,0.25,4.30441221,0.052799697,0.019243087,0.744648155,2.662885067,20636,34,2022,153609,171
0.15,0.45,0.4,4.306036005,0.052799697,0.02285726,0.743260816,2.664804862,20828.66667,34,2005,152034,172
0.1,0.7,0.2,4.331906646,0.052799697,0.024591283,0.748523023,2.681373675,20544,34,1981,151278,173
0.2,0.45,0.35,4.33862952,0.052799697,0.02368948,0.744795893,2.684764145,20928.66667,35,2005,152348,174
0.1,0.9,0,4.29926577,0.052799697,0.047136373,0.940871786,2.687787553,20960.66667,35,1758,168751,175
0.4,0.3,0.3,4.342779898,0.052799697,0.027897896,0.747270673,2.688764375,20472,33,1995,152092,176
0.1,0.75,0.15,4.344041991,0.052799697,0.026695492,0.746784733,2.689112316,20453.33333,34,1977,150622,177
0.25,0.5,0.25,4.345507359,0.052799697,0.028862325,0.752602799,2.691223393,20502,34,1979,151949,178
0.7,0.3,0,4.31137969,0.052799697,0.046835772,0.931935214,2.694072067,20974,32,1755,166863,179
0.05,0.65,0.3,4.363072793,0.052799697,0.021885872,0.748978754,2.699307313,20542,32,2006,153280,180
0.05,0.95,0,4.320294572,0.052799697,0.047800201,0.94014697,2.700531501,20835.33333,35,1758,168621,181
