alpha_1,alpha_2,alpha_3,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.5,0.15,0.35,0.0,1.0305401794235542,0.060289316018805196,0.006448819659442725,89.3,0.3996866344453815,0.09343031831354869,17996.666666666682,0,1223,93364.0,89
0.65,0.15,0.2,0.0,0.9977094865432344,0.060289316018805196,0.008739268002522647,85.5,0.409233377184076,0.09343059244632612,17423.333333333365,0,1186,92702.0,90
0.45,0.4,0.15,0.0,1.0079786218744042,0.060289316018805196,0.0028511817738791426,95.27,0.42177433111574747,0.0934317187374587,17602.666666666693,0,1197,96429.0,91
0.35,0.5,0.15,0.0,1.007482343958772,0.060289316018805196,0.0028511817738791426,95.27,0.4222142252142735,0.09345089425152969,17594.000000000033,0,1193,96207.0,92
0.3,0.5,0.2,0.0,1.0066806642489035,0.060289316018805196,0.003301244840041279,94.52,0.4213785628752983,0.0934622629519874,17580.00000000003,0,1198,96419.0,93
0.25,0.45,0.3,0.0,1.02466119488452,0.060289316018805196,0.003167945906432749,94.75,0.4132474906476427,0.0935081925809201,17894.00000000001,0,1219,96216.0,94
0.5,0.3,0.2,0.0,1.01439205955335,0.060289316018805196,0.0045668680483889465,92.43,0.4145697058447315,0.09354663397665734,17714.666666666682,0,1187,93990.0,95
0.3,0.45,0.25,0.0,1.0209581981294147,0.060289316018805196,0.003096279813094828,94.86,0.4160053654104106,0.09357733039144026,17829.333333333358,0,1210,96143.0,96
0.2,0.55,0.25,0.0,1.0172552013743084,0.060289316018805196,0.003289778265107212,94.54,0.4172796238914414,0.09357765593739173,17764.666666666686,0,1225,97633.0,97
0.55,0.3,0.15,0.0,1.0002290513456773,0.060289316018805196,0.0053953280873753,91.05,0.41949931805182805,0.09357998279867927,17467.333333333358,0,1190,95348.0,98
0.6,0.05,0.35,0.0,0.9988165680473384,0.060289316018805196,0.01396372620685701,76.84,0.3946742768861042,0.09359737395303444,17442.6666666667,0,1220,91967.0,99
0.55,0.35,0.1,0.0,1.002366863905327,0.060289316018805196,0.003167945906432749,94.75,0.4254081732089546,0.09360954428809162,17504.666666666704,0,1182,96041.0,100
0.7,0.05,0.25,0.0,0.9981294140103081,0.060289316018805196,0.013006267199862396,78.43,0.3984442031903903,0.09365277117951315,17430.666666666693,0,1196,91019.0,101
0.4,0.4,0.2,0.0,1.016109944645925,0.060289316018805196,0.0032396119997706676,94.63,0.41902630835741134,0.09368001166796859,17744.666666666682,0,1205,96441.0,102
0.45,0.35,0.2,0.0,1.018973086466884,0.060289316018805196,0.0031536126877651643,94.77,0.41812631542328366,0.09370736967200212,17794.666666666697,0,1204,96154.0,103
0.65,0.2,0.15,0.0,0.9927848826111858,0.060289316018805196,0.008293504901960786,86.24,0.41582916243666074,0.0937102118448136,17337.333333333354,0,1181,93799.0,104
0.15,0.6,0.25,0.0,1.022103454857797,0.060289316018805196,0.0031607792970989564,94.76,0.4166811277072126,0.09372151930274081,17849.333333333343,0,1237,98448.0,105
0.6,0.25,0.15,0.0,0.9985875167016618,0.060289316018805196,0.00594285704047701,90.14,0.42032712638734676,0.09374494558596087,17438.6666666667,0,1193,95777.0,106
0.3,0.6,0.1,0.0,1.0088566520328317,0.060289316018805196,0.002786682289875015,95.38,0.4249022384472477,0.09376906113332886,17618.000000000033,0,1209,98118.0,107
0.3,0.4,0.3,0.0,1.0221416300820771,0.060289316018805196,0.00429453689370485,92.88,0.4137733266711564,0.09377277523933096,17850.000000000022,0,1205,95232.0,108
0.0,0.65,0.35,0.0,1.031647260927659,0.060289316018805196,0.0029443476952184387,95.12,0.4141023741315157,0.09387590476810005,18016.000000000033,0,1272,100607.0,109
0.7,0.15,0.15,0.0,0.9967169307119692,0.060289316018805196,0.00889693340786607,85.24,0.41374895507941395,0.09387982206589968,17406.000000000036,0,1190,94041.0,110
0.1,0.65,0.25,0.0,1.0252719984729919,0.060289316018805196,0.002541584250659328,95.78,0.41874328768962277,0.09390040396780967,17904.666666666697,0,1248,99815.0,111
0.15,0.45,0.4,0.0,1.0337087230387478,0.060289316018805196,0.0035993757883270258,94.03,0.4114812583978131,0.09391337472821681,18052.000000000015,0,1243,97691.0,112
0.25,0.6,0.15,0.0,1.0182859324298537,0.060289316018805196,0.0032324453904368764,94.64,0.42054280364758506,0.09393831060338226,17782.66666666669,0,1208,97031.0,113
0.5,0.4,0.1,0.0,1.0092002290513467,0.060289316018805196,0.003218112171769293,94.66,0.42545926142640683,0.09397137124673882,17624.00000000003,0,1199,97434.0,114
0.1,0.6,0.3,0.0,1.0308837564420705,0.060289316018805196,0.0036065423976608187,94.02,0.4142748253758013,0.0940536330789819,18002.666666666704,0,1257,99462.0,115
0.7,0.2,0.1,0.0,0.9963351784691752,0.060289316018805196,0.006847283138401557,88.64,0.42186887656924954,0.0940578315219042,17399.333333333376,0,1189,95806.0,116
0.4,0.5,0.1,0.0,1.0099637335369354,0.060289316018805196,0.0036638752723311564,93.92,0.42501589845893845,0.09409893910443998,17637.33333333336,0,1202,97576.0,117
0.5,0.35,0.15,0.0,1.0173315518228678,0.060289316018805196,0.003916139920880633,93.5,0.4208789201788106,0.09412931158528864,17766.00000000003,0,1204,96787.0,118
0.3,0.55,0.15,0.0,1.0177514792899411,0.060289316018805196,0.0039061066678133236,93.52,0.4207461273405649,0.09413401869889755,17773.333333333354,0,1211,97319.0,119
0.4,0.45,0.15,0.0,1.0166443977858373,0.060289316018805196,0.00387314026487788,93.58,0.4219302413782581,0.09418718610658104,17754.00000000002,0,1201,96787.0,120
0.05,0.7,0.25,0.0,1.0327161672074832,0.060289316018805196,0.00298734735122119,95.04,0.41665526689963645,0.09419753925570416,18034.666666666693,0,1263,100511.0,121
0.1,0.7,0.2,0.0,1.026531780874213,0.060289316018805196,0.0038444738275427125,93.62,0.4178035743619768,0.09426028862817115,17926.666666666686,0,1243,99192.0,122
0.6,0.3,0.1,0.0,1.0148119870204242,0.060289316018805196,0.004052305498222681,93.28,0.42323146231584075,0.09427943723207209,17722.000000000022,0,1204,97328.0,123
0.2,0.7,0.1,0.0,1.0169497995800727,0.060289316018805196,0.002987347351221191,95.04,0.425640183137989,0.09430771249816891,17759.33333333335,0,1211,98451.0,124
0.6,0.1,0.3,0.0,1.021721702615003,0.060289316018805196,0.0107115188911822,82.23,0.4004539841018594,0.09434493920829076,17842.666666666682,0,1204,92090.0,125
0.2,0.6,0.2,0.0,1.0272571101355215,0.060289316018805196,0.003405877336314643,94.35,0.41978309648466716,0.09436292835613719,17939.333333333336,0,1232,98780.0,126
0.05,0.6,0.35,0.0,1.0408093147547246,0.060289316018805196,0.0034632102109849786,94.26,0.41320192998665434,0.09439962179969716,18176.000000000022,0,1275,100625.0,127
0.45,0.45,0.1,0.0,1.0102309601068917,0.060289316018805196,0.0031536126877651648,94.77,0.42985557410709224,0.09444318922238337,17642.000000000033,0,1201,98605.0,128
0.25,0.65,0.1,0.0,1.0121778965451427,0.060289316018805196,0.004096738476092191,93.2,0.4267575434003858,0.09451367071012337,17676.000000000022,0,1216,99117.0,129
0.1,0.75,0.15,0.0,1.0376789463638105,0.060289316018805196,0.0024770847666552003,95.89,0.4197456993268512,0.0946016426808722,18121.333333333358,0,1260,101016.0,130
0.15,0.75,0.1,0.0,1.0242030921931666,0.060289316018805196,0.00254875085999312,95.77,0.42670157068062825,0.0946449369357191,17886.000000000015,0,1230,100245.0,131
0.45,0.0,0.55,0.0,1.0366863905325439,0.060289316018805196,0.012893034772388484,78.61,0.38947211189711106,0.09464944114805485,18104.000000000004,0,1367,101690.0,132
0.15,0.8,0.05,0.0,1.016033594197366,0.060289316018805196,0.003542042913656692,94.12,0.42955016561598464,0.09481930914556377,17743.333333333347,0,1225,100504.0,133
0.15,0.7,0.15,0.0,1.0323344149646883,0.060289316018805196,0.0024770847666552,95.89,0.4247857970548681,0.09483842588371778,18028.00000000002,0,1238,100444.0,134
0.0,0.9,0.1,0.0,1.0402366863905335,0.060289316018805196,0.0024770847666552008,95.89,0.4208665655428879,0.09484161630381203,18166.00000000003,0,1284,103215.0,135
0.35,0.55,0.1,0.0,1.0116816186295103,0.060289316018805196,0.00452816835798647,92.49,0.42909399812766547,0.09485193125163802,17667.33333333336,0,1208,99004.0,136
0.75,0.1,0.15,0.0,0.9941591906852459,0.060289316018805196,0.014299123523678473,76.28,0.4090771247892826,0.0949054090702941,17361.333333333358,0,1174,91729.0,137
0.7,0.25,0.05,0.0,1.0069097155945805,0.060289316018805196,0.005416827915376677,91.02,0.42980609855560525,0.09495114400990257,17584.000000000036,0,1194,98019.0,138
0.75,0.05,0.2,0.0,0.9683145638480644,0.060289316018805196,0.02126076783052402,64.74,0.4019943865709505,0.09499339719865549,16910.000000000044,0,1164,89373.0,139
0.7,0.0,0.3,0.0,1.0053445313991236,0.060289316018805196,0.018227858760463254,69.77,0.3927150803309619,0.09500709223119136,17556.666666666708,0,1282,96161.0,140
0.4,0.0,0.6,0.0011104942840433065,1.04115289177324,0.060289316018805196,0.011496979274165807,80.93,0.3890003070845544,0.095017540935591,18182.00000000003,1,1381,102607.0,141
0.75,0.15,0.1,0.0,0.986715021950755,0.060289316018805196,0.012346939141153538,79.52,0.4198818057209626,0.09502801341198008,17231.333333333365,0,1165,93430.0,142
0.4,0.55,0.05,0.0,1.0148501622447044,0.060289316018805196,0.003296944874441005,94.53,0.4334923021097921,0.09508082178554673,17722.6666666667,0,1212,100350.0,143
0.05,0.9,0.05,0.0,1.0316090857033788,0.060289316018805196,0.0034703768203187707,94.24,0.4257410232097951,0.09519566965224409,18015.333333333354,0,1270,103272.0,144
0.25,0.7,0.05,0.0,1.0163771712158824,0.060289316018805196,0.003715474859534457,93.84,0.43341792728954914,0.09527529374760937,17749.333333333372,0,1211,100250.0,145
0.3,0.65,0.05,0.0,1.0221034548577985,0.060289316018805196,0.0030962798130948284,94.86,0.4324874936874954,0.09528280605556791,17849.33333333337,0,1213,100200.0,146
0.2,0.75,0.05,0.0,1.0186676846726483,0.060289316018805196,0.0037799743435385845,93.73,0.43233210895922447,0.09530058743261643,17789.33333333336,0,1213,100164.0,147
0.1,0.85,0.05,0.0,1.0305783546478342,0.060289316018805196,0.0027866822898750146,95.38,0.4294363684225921,0.09530855926161343,17997.333333333358,0,1253,102774.0,148
0.6,0.35,0.05,0.0,1.0223706814277536,0.060289316018805196,0.0030962798130948284,94.86,0.43343584760797615,0.09539100277611375,17854.00000000002,0,1207,99923.0,149
0.8,0.15,0.05,0.0,0.9982439396831471,0.060289316018805196,0.009467395510835913,84.3,0.4276253713854377,0.0955149527759519,17432.666666666704,0,1193,97440.0,150
0.5,0.45,0.05,0.0,1.0226760832219892,0.060289316018805196,0.003096279813094829,94.86,0.4350950858516783,0.09557219669019575,17859.33333333335,0,1202,99890.0,151
0.6,0.0,0.4,0.0,1.0361519373926318,0.060289316018805196,0.016638304810228176,72.4,0.3878225254880629,0.09558134086150634,18094.666666666675,0,1309,96963.0,152
0.75,0.0,0.25,0.0,0.9965642298148514,0.060289316018805196,0.021177635162252035,64.87,0.3966127562159527,0.09584277766101346,17403.33333333337,0,1235,93555.0,153
0.55,0.0,0.45,0.0,1.0283641916396258,0.060289316018805196,0.01846292354661163,69.38,0.38905057723385045,0.09586214436934982,17958.66666666668,0,1351,100391.0,154
0.35,0.6,0.05,0.0,1.025882802061463,0.060289316018805196,0.00416123796009632,93.1,0.4344863664235392,0.09599114813345597,17915.33333333336,0,1221,101327.0,155
0.65,0.3,0.05,0.0,1.020652796335179,0.060289316018805196,0.005505693871115697,90.87,0.43326895998535253,0.09601124397662893,17824.000000000022,0,1201,99388.0,156
0.75,0.2,0.05,0.0,1.016338995991602,0.060289316018805196,0.00773307605205825,87.17,0.43045831383593935,0.09618270399879152,17748.66666666669,0,1186,97510.0,157
0.45,0.5,0.05,0.0,1.034472227524336,0.060289316018805196,0.0034703768203187715,94.24,0.43601026453568476,0.09636575087588092,18065.333333333336,0,1216,101266.0,158
