alpha_1,alpha_2,alpha_3,w_s1,w_s2,gamma1,gamma2,margin_sec,lambda,p,epsilon,beta,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.6,0.3,0.1,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.2480168160593725,1.0430414929521528,0.060289316018805196,0.004096738476092192,93.2,0.4265429160717119,0.2324446366302614,17512.66666666669,3,1188,96786.0,41
0.45,0.05,0.5,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.2534931231595477,1.048362120309707,0.060289316018805196,0.010844817824790734,82.01,0.3921964401201181,0.2343124131126856,17602.00000000003,2,1271,95210.0,42
1.0,0.0,0.0,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.22166097135399557,1.0557871749056962,0.060289316018805196,0.04731425940259145,21.52,0.5055079614465208,0.23944796695541187,17726.666666666686,1,1163,112290.0,43
0.4,0.15,0.45,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.27228638697382734,1.0497121302362504,0.060289316018805196,0.006438786406375414,89.32,0.39835747503732033,0.24401050277306222,17624.66666666669,3,1217,92597.0,44
0.55,0.25,0.2,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.2708749541354248,1.0432400238237038,0.060289316018805196,0.005391028121775025,91.06,0.413992463178303,0.24415978072003164,17516.000000000033,4,1199,94808.0,45
0.45,0.15,0.4,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.284064425539886,1.0518562636489963,0.060289316018805196,0.00599588994954707,90.05,0.39785434572111633,0.2504124487863629,17660.666666666693,3,1222,92860.0,46
0.35,0.25,0.4,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.2987319086383856,1.044669446098867,0.060289316018805196,0.005995889949547071,90.05,0.4055445884473436,0.25888924788565393,17540.000000000022,4,1220,94500.0,47
0.55,0.35,0.1,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.3053036738016155,1.0494341870160795,0.060289316018805196,0.003599375788327027,94.03,0.42937199084427374,0.264405741762618,17620.000000000022,4,1194,97920.0,48
0.9,0.1,0.0,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.2871263625180721,1.0482032956124663,0.060289316018805196,0.024451342305928218,59.44,0.506808047036614,0.26834587156100287,17599.333333333354,2,1187,114902.0,49
0.35,0.2,0.45,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.3175105254971878,1.0480841770895364,0.060289316018805196,0.006124888917555325,89.84,0.3957893299538738,0.2684513975485841,17597.33333333336,4,1227,92756.0,50
0.5,0.3,0.2,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.3218150788212687,1.0518562636489968,0.060289316018805196,0.0036137090069946116,94.01,0.4169857518689276,0.2723737944231388,17660.6666666667,3,1206,96051.0,51
0.3,0.1,0.6,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.32903725813371476,1.0513003772086544,0.060289316018805196,0.00490226536521041,91.87,0.39139308079252644,0.27414549852279163,17651.333333333354,2,1275,95314.0,52
